A_count	T_count	G_count	C_count	Geneid	d11_KO_Lhx8	d11_KO_Stat3	d11_KO_Sub1	d13_KO_Ccnk	d13_KO_Dynll1	d13_KO_Ell3	d13_KO_Foxr1	d13_KO_Hes6	d13_KO_Kdm1b	d13_KO_Mef2b	d13_KO_Nobox	d13_KO_Noto	d13_KO_Sfr1	d13_KO_Tbpl2	d13_KO_Tcf25	d13_KO_Thap7	d13_KO_Ybx3	d11_WT	d13_WT
16	8	33	43	1700021K19Rik	36.545	41.94	46.605	46.04	53.98	38.48	53.35	47.72	46.265	46.37	38.845	35.745	61.465	32.045	58.9	36.325	30.38	26.76	46.325
13	17	43	27	Kifc1	21.775	32.85	27.175	98.47	36.98	68.825	105.59	96.835	92.915	96	20.73	57.81	119.005	47.315	116.51	74.015	57.68	79.195	70.575
31	15	38	16	E330021D16Rik	0.345	0.14	0	60.44	1.855	146.635	213.585	226.86	135.33	158.49	0.27	59.205	159.7	8.92	156.33	72.975	69.035	18.8	101.77
22	19	33	26	5430416N02Rik	36.235	26.97	44.07	11.97	54.98	12.005	6.395	8.265	19.505	6.885	26.305	14.315	6.445	15.435	4.985	11.325	9.245	29.095	11.86
29	14	19	38	E330011O21Rik	0.735	0	0	29.385	2.32	91.46	96.99	137.32	88.735	92.815	0.085	66.07	98.645	7.04	90.46	41.36	31.565	5.35	82.06
20	15	19	46	Atg14	40.505	40.155	41.275	70.95	116.53	55.005	70.67	53.24	65.79	68.035	103.625	57.745	72.88	39.22	81.14	53.07	39.51	48.735	60.77
25	16	30	29	Tmppe	5.65	9.94	7.68	14.345	18.355	6.555	10.565	6.6	9.945	8.54	11.03	12.075	12.865	8.725	13.01	9.975	10.52	11.01	7.58
14	10	53	23	Rell1	11.715	19.22	17.78	18.565	23.92	12.46	15.47	11.16	13.105	12.365	12.415	14.805	13.425	17.505	19.1	11.15	14.02	21	11.76
28	11	34	27	Oas1d	0.045	2.15	3.47	368.39	2.335	351.395	459.77	434.285	320.21	453.87	6.375	235.85	448.99	105.195	325.335	307.18	235.735	96.11	272.33
17	14	39	30	Slc15a4	36.7	46.52	45.925	22.26	56.555	12.36	17.67	9.595	15.405	13.25	33.155	14.36	14.075	31.24	16.555	14.255	12.765	21.51	12.395
11	16	31	42	Noc4l	110.89	77.445	96.535	281.765	126.505	297.23	301.775	343.32	254.745	337.705	135.31	245.765	334.235	162.51	300.615	245.425	200.83	168.24	265.19
16	18	24	42	Psph	49.605	56.16	49.705	16.02	94.945	14.855	10.44	14.405	21.05	12.905	19.865	15.055	14.54	43.085	12.54	16.56	26.4	38.49	15.52
11	13	44	32	Trrap	50.045	82.025	76.51	100.115	98.705	48.98	71.26	44.13	62.26	73.415	101.335	69.01	73.685	62.085	83.965	58.835	59.845	81.12	68.46
9	27	24	40	Usp30	40.34	31.02	51.885	131.355	41.59	97.225	148.31	113.19	109.39	124.02	89.535	85.73	158.415	67.94	142.115	92.815	88.2	90.045	86.64
29	21	35	15	Tbc1d14	100.105	151.065	100.99	79.715	110.045	69.39	93.28	77.55	66.97	81.045	66.24	68.355	93.745	88.025	91.095	55.37	76.275	48.15	62.695
20	26	23	31	Hscb	93.315	81.905	103.065	136.955	159.355	142.6	118.1	134.61	125.92	150.955	119.025	179.04	129.895	134.09	136.275	161.885	108.87	102.675	163.475
12	23	38	27	Rab28	123.85	131.095	118.405	61.335	65.925	47.23	43.98	36.12	50.92	39.815	97.665	53.34	38.87	114.415	47.125	56.09	85.495	61.49	35.695
18	19	37	26	Nfxl1	158.945	198.365	163.245	80.625	143.34	65.13	80.31	56.23	64.585	63.895	74.435	72.265	65.075	119.165	73.23	53.89	67.145	66.185	75.39
17	27	25	31	Zfp513	39.755	47.625	48.99	40.41	56.21	51.415	63.875	51.045	45.785	62.82	41.575	37.855	58.21	42.895	59.375	44.26	46.305	35.79	44.855
19	20	30	31	Zfp956	22.105	19.41	33.93	81.86	18.585	83.11	112.405	94.12	84.87	98.285	59.965	76.33	86.545	33.97	95.43	62.115	62.295	51.175	81.45
11	16	27	46	Tada3	66.165	60.86	51.805	77.605	70.12	53.29	65.555	52.52	65.415	65.475	104.03	53.3	81.195	61.645	79.555	63.765	67.105	104.77	51.865
19	10	37	34	Tra2a	301.23	282.78	283.02	115.845	244.275	92.415	98.145	99.68	115.515	90.33	147.105	113.91	110.83	205.705	112.74	129.64	206.84	166.035	99.555
10	17	34	39	Wdr91	21.605	21.99	40.8	98.455	39.985	79.015	95.51	88.095	87.85	91.725	37.45	84.21	104.075	49.53	109.5	82.13	68.56	50.17	99.645
11	19	37	33	Brk1	397.125	344.635	382.995	301.35	356.84	329.395	276.215	322.695	322.575	300.125	365.61	355.405	273.055	358.74	252.265	334.29	331.395	394.03	319.505
9	3	51	37	Fbxl14	26.23	23.37	41.385	48.915	35.315	41.37	53.37	39.22	45.96	46.115	25.125	55.29	50.535	36.095	54.14	42.23	39.805	60.51	58.34
17	24	29	30	Phrf1	48.51	71.255	50.245	36.67	87.315	20.38	28.015	17.495	24.785	23.125	50.815	21.29	26.79	41.395	28.85	24.95	31.65	35.235	24.79
12	22	39	27	Plekha1	111.835	136.48	92.385	46.155	118.365	30.565	40.42	30.015	36.06	36.15	70.255	45.41	33.105	90.635	36.63	40.225	59.135	41.11	36.685
12	13	40	35	Mob2	141.66	128.115	134.69	92.985	121.57	87.37	79.72	85.655	83.82	80.585	112.995	92.465	84.96	100.05	86.72	88.32	79.565	73.2	81.325
17	14	37	32	Ccp110	110.96	183.125	116.64	85.915	117.45	52.26	63.065	47.835	57.32	52.83	104.05	67.41	56.21	97.76	64.32	52.105	75.055	57.215	61.695
14	19	30	37	Vrk3	97.9	102.94	96.115	162.775	92.625	113.96	121.845	134.415	147.9	137.245	146.18	143.01	151.93	151.05	125.515	158.65	161.095	148.52	117.845
31	22	18	29	Grwd1	51.41	51.92	66.79	61.255	85.865	40.595	48.685	43.87	40.175	48.4	48.34	43.87	49.995	62.92	61.375	58.485	46.07	78.095	34.655
24	16	35	25	Numa1	81.84	133.685	114.275	74.055	130.215	40.505	58.56	38.155	50.19	52.85	141.045	52.38	55.975	79.945	63.985	45.94	64.815	58.51	52.835
14	12	34	40	Psip1	155.26	187.15	176.255	251.465	237.15	247.17	238.605	227.765	249.11	218.585	216.625	246.11	227.125	206.525	255.8	234.62	188.915	258.77	257.53
46	10	41	3	A730082K24Rik	8.385	4.21	8.115	36.21	2.955	56.46	53.35	72.705	58.315	59.055	12.475	46.46	64.88	16.735	59.105	52.48	54.295	35.95	46.86
18	25	15	42	Ints4	79.005	79.17	73.455	76.925	111.905	52.105	69.82	61.185	55.435	60.645	130.99	46.295	69.325	67.04	74.935	63.515	75.425	78.91	55.235
32	32	16	20	Sf3b3	177.005	261.425	212.425	167	419.095	127.17	150.62	130.63	151.865	147.305	160.11	121.6	152.055	189.785	179.43	148.1	142.97	151.165	140.36
19	33	23	25	D8Ertd738e	404.095	279.155	444.65	678.68	362.985	633.635	544.47	585.275	591.12	587.9	611.21	749.5	508.645	547.19	507.06	744.705	611.725	637.445	570.635
31	13	27	29	Champ1	58.485	54.04	62.515	81.68	55.155	62.675	78.95	70.455	70.45	77.935	37.985	55.525	88.115	67.445	82.29	67.455	57.89	61.605	75.465
12	10	33	45	Gadd45gip1	43.97	29.915	36.77	159.68	72.445	260.28	219.34	291.465	220.69	232.21	104.305	226.8	237.5	121.79	217.05	229.45	180.62	126.99	225.615
8	9	40	43	Mtus1	16.715	8.2	22.81	137.475	10.97	151.13	190.6	151.58	147.15	162.05	20.335	132.355	185.95	48.215	191.7	124.325	87.71	90.115	153.505
12	23	32	33	Dohh	113.205	133.1	155.545	128.59	157.69	105.62	106.065	100.65	113.18	110.7	92.435	99.76	112.155	139.535	103.485	126.245	121.985	144.79	112.135
22	18	31	29	Fam192a	101.78	101.65	101.94	188.64	164.24	203.255	214.265	215.88	198.9	204.985	143.705	155.575	218.38	125.22	206.47	175.78	155.57	136.755	172.265
9	9	42	40	Taf5l	53.335	57.15	61.355	91.02	107.275	65.48	74.255	59.6	61.485	71.96	64.5	70.42	69.395	64.02	78.76	73.895	57.98	97.94	72.425
17	19	30	34	Prmt10	56.45	52.71	46.08	63.545	83.32	46.975	47.87	45.48	51.065	45.955	51.955	45.1	45.13	46.04	60.355	47.825	53.02	44.36	47.155
11	23	31	35	Zdhhc7	27.35	30.76	29.79	24.88	27.025	18.295	20.31	16.095	20.66	18.74	18.52	17.92	22.69	21.715	15.695	20.93	25.755	27.395	18.25
21	13	25	41	Snapc2	56.425	48.765	57.015	65.745	48.515	56.085	51.41	68.64	50.77	60.245	69.77	52.975	64.065	71.77	52.52	65.78	54.08	64.51	46.66
16	9	37	38	Ak6	141.4	153.615	135.885	55.4	129.975	52.12	49.72	50.865	49.52	38.055	51.46	53.295	38.1	113.32	48.795	64.3	60.055	67.72	56.73
15	10	40	35	Agpat6	74.295	85.245	76	106.365	77.485	53.305	66.85	55.905	71.905	62.67	47.11	60.89	88.79	72.305	95.165	71.585	66.8	71.57	56.54
13	12	32	43	Ankrd10	43.315	45.91	49.94	32.59	59.155	22.505	24.955	21.34	31.075	22.98	41.155	33.5	26.49	42.625	27.2	25.53	39.68	59.815	32.285
21	16	23	40	Cog4	109.755	121.36	118.43	191.175	155.365	150.055	164.515	146.97	149.04	169.85	147.09	129.855	173.745	123.7	178.535	162.945	136.87	141.1	151.29
13	22	36	29	Hinfp	65.935	103.81	77.745	41.97	114.985	25.65	25.805	26.405	31.74	25.84	63.615	24.525	32.76	75.455	32.63	29.935	49.66	43.34	24.755
19	30	27	24	Xylb	6.38	4.24	8.41	6.83	17.235	2.22	2.405	2.47	3.985	2.545	13.11	4.485	5.21	3.8	5.215	2.715	2.125	4.64	1.845
21	33	22	24	Imp3	77.45	50.42	71.505	76.15	128.145	76.87	70.54	73.905	66.405	87.235	88.765	73.28	66.035	64.49	67.705	81.195	72.28	102.125	61.14
20	19	37	24	Pls1	16.62	16.395	14.315	172.55	22.66	190.205	205.665	190.655	196.49	193.895	33.24	174.875	197.645	73.725	218.615	142.675	104.83	79.89	195.585
18	15	30	37	Cmtm7	20.54	16.145	30.635	1.785	20.16	0.35	1.28	0.945	3.59	1.92	8.64	3.66	0.9	12.275	0.41	1.6	6.915	7.565	0.58
15	15	23	47	Ano10	24.025	21.065	21.85	116.125	23.685	83.55	106.95	96.165	82.49	106.515	72.47	76.15	106.26	56.51	94.125	87.94	79.38	56.325	82.39
8	11	38	43	Cd276	24.67	34.26	35.98	2.055	75.425	0.855	3.1	1.545	2.37	4.28	13.765	2.46	2.105	31.75	1.08	2.57	9.79	12.585	0.265
19	25	17	39	Bbs4	27.575	28.705	25.22	62.245	32.685	52.225	72.965	68.22	54.105	66.295	34.905	48.51	79.23	38.465	60.165	61.885	46.745	58.645	43.415
18	11	59	12	Slc6a8	24.115	24.73	54.17	4.555	11.22	1.305	2.675	1.16	5.265	1.895	11.07	2.465	3.115	9.755	0.53	2.37	12.88	10.075	0.21
24	21	20	35	AU022751	77.28	65.26	86.625	117.81	106.345	180.97	237.78	259.04	192.79	238.12	63.755	120.935	214.27	42.265	219.625	107.38	77.92	42.09	161.335
17	16	37	30	Firre	31.98	28.045	35.655	44.275	45.83	43.48	40.78	37.47	58.55	35.865	31.275	68.465	46.375	41.435	53.405	50.76	38.92	68.505	52.59
21	15	23	41	Slc6a15	0.315	0.18	0.095	0	1.925	0.13	0.34	0.105	0.81	0.21	0.585	0.29	0.17	1.24	0.065	0	1.085	0.38	0.39
24	19	23	34	Pwp1	45.97	56.67	56.48	59.235	89.42	48.335	50.03	46.47	58.44	49.845	65.12	42.06	49.275	58.46	58.01	52.29	48.005	66.81	43.475
16	27	27	30	Chchd10	535.16	324.48	416.63	138.935	266.24	137.92	120.03	170.275	185.36	136.525	210.565	206.415	130.885	346.88	84.7	187.1	442.39	411.595	110.13
8	9	48	35	Csnk1g2	177.3	224.905	219.45	137.245	201.405	76.68	107.815	75.275	110.815	93.96	175.65	110.965	114.85	168.52	98.17	106.87	118.41	161.04	78.925
12	21	34	33	Cep57l1	14.385	14.405	17.18	14.635	26.15	9.085	12.045	13.77	13.615	9.25	14.445	8.81	17.635	15.285	13.535	13.315	11.75	13.88	9.565
18	14	35	33	Ncln	73.17	99.21	92.58	106.905	92.095	72.65	94.675	79.1	77.11	93.645	86.655	83.03	102.195	93.385	102.515	84.48	82.735	91.05	75.915
15	19	35	31	Nup107	160.815	142.165	114.03	161.195	140.695	143.97	161.015	149.095	160.84	145.05	132.825	137.265	157.74	145.295	194.025	155.91	148.15	146	169.945
9	15	30	46	Mgat4b	75.095	73.4	93.9	77.245	86.75	43.875	62.31	42.345	39.125	55.27	68.975	58.92	60.8	66.01	54.515	50.775	68.545	83.805	48.51
12	24	29	35	Mbtd1	62.975	86.535	68.09	55.99	87.15	52.11	64.81	48.04	63.955	52.18	42.88	58.99	61.47	55.31	71.92	43.235	56.535	45.53	52.695
18	16	37	29	E130012A19Rik	11.41	19.765	21.905	10.455	58.785	6.48	11.39	7.195	6.71	9.43	18.885	10.895	9.64	12.08	8.975	8.375	10.725	8.235	6.765
15	14	31	40	Psme4	74.495	98.945	81.47	61.02	81.95	45.85	55.205	43.17	53.825	47.235	89.77	47.62	59.085	69.67	59.275	53.455	53.195	66.005	54.2
24	18	31	27	Xpo1	258.035	316.42	241.43	157.65	306.515	121.2	149.6	111.775	136.045	114.7	205.885	133.075	137.69	196.9	168.72	133.05	171	154.13	155.525
20	18	38	24	Tmed4	201.755	181.72	192.09	85.785	114.37	62.74	61.92	58.485	82.17	66.065	157.36	81.43	67.195	156.315	63.585	87.735	116.56	140.27	74.4
18	22	33	27	Slc35e4	3.945	3.75	7.2	25.615	6.69	23.06	30.415	29.535	21.665	28.625	8.025	18.88	32.895	6.16	32.325	20.1	15.07	14.245	24.685
19	31	20	30	Pnpo	49.005	47.425	48.81	126.54	67.36	129.805	117.965	127.86	126.395	135.405	107.255	121.01	114.805	76.205	119.16	131.51	97.535	101.085	130.305
21	20	34	25	Tubg1	96.625	167.345	121.605	103.09	181.055	89.065	92.065	94.995	99.805	98.795	158.435	80.715	119.915	111.77	95.79	97.565	108.245	105.8	89.1
22	12	32	34	Mien1	170.35	116.61	172.85	261.96	194.965	219.515	188.595	192.875	237.275	192.585	329.825	288.39	191.86	229.92	204.02	280.31	259.18	299.495	257.455
17	19	24	40	Tubg2	4.895	7.025	5.455	398.26	11.855	578.915	488.185	587.09	419.285	557.7	315.505	436.79	488.155	93.845	531.275	340.565	227.37	57.915	503.55
14	10	39	37	Inca1	567.37	477.755	380.37	71.115	128.805	36.28	33.635	33.45	31.88	35.58	82.235	55.725	40.455	278.97	29.525	53.955	187.08	54.41	45.925
19	9	29	43	Acly	131.79	210.165	152.13	109.655	580.37	58.885	83.565	64.39	83.845	76.525	315.485	75.985	84.415	174.535	84.365	77.805	94.62	116.455	73.64
30	23	22	25	Ndufb11	370.19	307.01	347.97	454.915	286.605	620.695	441.49	534.77	492.645	503.84	454.99	701.75	450.76	462.28	379.295	548.695	502.535	384.32	558.5
11	11	46	32	Etv5	4.96	12.64	5.03	3.74	30.805	1.405	2.42	1.885	3.35	1.435	22.61	2.585	3.375	9.56	1.935	2.325	3.775	4.54	1.945
13	22	24	41	Gldc	14.335	30.51	13.135	1.98	61.585	0.105	0.725	0.2	0.185	0.75	4.645	1.1	0.865	18.54	0.805	0.815	4.21	0.87	1
9	16	37	38	Blmh	140.825	152.67	138.475	85.505	205.72	86.09	85.98	79.52	94.58	80.365	95.285	70.92	89.305	115.01	90.295	86.39	86.77	95.555	88.88
21	22	27	30	Cabin1	42.96	53.695	66.46	106.48	90.205	75.88	98.22	70.345	72.825	96.75	78.98	93.495	99.56	56.585	104.08	79.015	62.41	72.57	91.14
11	24	41	24	Cdc42ep2	1.61	2.355	8.1	16.575	3.93	23.99	34.585	33.87	19.975	34.245	3.905	17.975	29.66	9.57	26.59	20.69	15.375	5.41	27.6
15	18	36	31	Kdm3a	134.91	128.99	109.575	22.47	161.1	8.095	10.855	5.68	10.13	7.535	76.38	13.13	9.885	76.05	5.69	13.345	65.875	73.47	5.89
11	9	42	38	Tex15	438.805	452.665	367.77	163.375	252	74.825	86.61	64.03	97.785	72.6	172.35	113.465	94.09	289.2	115.06	111.37	221.31	194.065	95.51
14	13	33	40	Arl1	155.115	103.735	100.52	136.14	55.945	117.855	128.875	125.55	142.395	121.335	84.805	126.655	119.455	120.695	130.3	132.965	124.715	130.735	129.705
20	14	32	34	Csnk1d	140.625	151.5	156.285	133.155	181.595	87.82	114.645	79.645	106.9	104.29	146.835	99	120.565	153.045	109.01	108.005	117.145	190.955	94.85
17	19	42	22	Gas8	75.795	50.145	59.135	168.31	82.695	144.105	173.51	143.95	157.94	147.235	229.225	132.835	166.34	128.335	167.96	150.175	119.165	164.78	124.775
15	15	36	34	Isl2	10.11	9.7	23.655	27.385	15.05	33.485	30.415	28.88	21.175	28.39	12.15	31.86	29.76	19.405	29.935	19.865	26.765	29.61	24.99
12	12	46	30	Rcor1	38.805	45.27	45.015	35.235	37.93	20.325	29.305	18.53	20.295	24.88	39.03	22.72	27.375	28.265	26.12	21.835	35.425	40.755	22.07
27	15	30	28	Rhox9	124.555	109.32	32.94	11.825	55.21	4.33	2.07	1.73	4.365	4.175	30.39	6.235	1.57	107.02	2.305	17.165	24.145	6.105	3.985
21	15	38	26	E2f4	99.03	107.145	116.78	67.46	101.76	52.055	64.9	56.23	58.48	62.955	41.89	50.185	67.685	91.955	63.815	60.295	59.015	78.105	56.85
25	18	32	25	Pcnxl3	48.54	54.635	68.28	63.76	70.715	36.56	50.35	35.125	46.95	48.815	86.74	54.545	62.895	39.715	62.49	48.865	50.545	51.8	53.785
9	19	34	38	Bap1	105.375	129.915	137.67	149.435	200.805	131.795	152.195	136.155	156.525	148.985	139.295	120.055	155.705	149.46	161.75	135.375	124.025	144.245	136.565
13	21	35	31	Rexo2	144.865	160.605	190.23	213.46	245.245	212.83	165.475	210.42	219.585	184.155	247.95	195.725	208.4	213.61	221.045	242.405	205.235	262.37	225.235
13	15	24	48	0610010K14Rik	299.97	338.13	399.645	251.425	391.71	200.97	162.41	185.91	184.625	209.435	239.82	239.15	208.945	315.945	179.15	249.99	232.56	285.94	180.15
25	19	28	28	Rars	136.875	137.345	125.135	217.865	241.85	176.465	214.685	203.365	187.1	186.71	195.405	145.215	202.46	170.015	238.025	197.145	167.235	216.565	165.025
23	18	19	40	Ccdc117	90.655	92.36	94.13	156.07	111.785	158.975	210.82	163.025	156.865	163.79	110.68	130.94	190.95	81.8	198.285	133.125	122.22	121.59	152.45
13	23	33	31	Smek2	71.735	80.2	63.415	28.55	63.77	23.05	26.52	21.165	28.305	21.965	53.5	25.66	21.645	51.01	25.085	26.385	39.53	37.695	24.56
19	13	36	32	Tsr1	44.99	41.135	38.175	49.94	99.3	42.015	52.19	43.44	50.515	41.45	49.36	43.82	51.33	48.965	59.845	47.695	48.3	56.565	45.325
13	12	30	45	Slc16a6	4.855	3.62	4.785	1.08	10.13	1.12	2.065	0.56	2.34	1.005	5.88	1.765	1.8	3.74	4.85	0.625	2.08	0.22	1.015
15	20	30	35	Ddx1	283.995	323.83	278.565	231.385	362.1	159.275	195.015	163.055	189.385	186.765	290.815	157.625	168.925	285.64	207.53	191.635	211.36	265.625	168.435
18	10	44	28	Sptssa	70.59	66.885	71.18	24.845	47.95	25.84	22.805	22.65	29.36	20.725	49.06	37.72	22.445	43.265	29.655	31.53	49.05	83.85	20.135
20	18	36	26	4930427A07Rik	35.185	40.06	30.095	27.705	54.53	18.64	20.765	17.615	19.86	22.095	33.94	22.33	24.35	25.815	29.28	22.585	26.595	24.89	18.16
22	12	41	25	Jkamp	113.6	92.64	96.175	169.235	83.295	149.2	152.77	150.8	153.525	149.165	109.415	171.39	162.035	148.225	166.3	182.605	172.505	143.31	165.47
26	22	32	20	Vipas39	92.08	129.275	118.91	64.11	118.915	57.74	53.23	61.515	62.365	50.81	67.605	44.945	61.485	86.95	64.08	60.205	62.555	67.515	50.26
18	21	23	38	Fancm	18.52	19.58	14.945	11.97	20.885	5.935	7.94	4.64	6.02	5.825	14.635	7.955	8.195	12.41	10.97	6.65	8.65	9.2	7.915
15	20	23	42	Adi1	58.87	44.675	50.59	85.66	59.38	49.81	48.385	52.09	51.405	45.96	109.905	55.46	52.065	66.485	55.805	78.845	74.81	97.82	54.41
19	20	26	35	Pelo	49.76	50.23	51.75	84.8	62.98	59.54	64.595	58.975	74.985	71.35	79.375	61.07	67.815	70.13	60.755	77.365	58.89	102.14	59.56
16	25	35	24	Iars	60.435	82.515	73.66	78.59	164.23	68.815	81.095	84.25	78.475	77.895	101.77	59.53	92.08	89.915	108.06	76.9	73.28	77.755	80.53
17	24	28	31	Arrdc3	176.83	166.2	114.565	55.33	122.435	28.68	43.55	33.81	52.825	39.14	153.725	46.46	39.405	110.515	32.625	35.99	107.36	104.655	25.395
14	21	38	27	Fam208b	184.1	234.945	168.645	41.945	113.58	11.74	16.34	9.925	17.39	11.91	59.105	23.275	15.725	98.505	17.855	18.97	68.495	31.825	16.075
8	17	41	34	Rnf44	141.435	210.895	176.09	76.615	245.485	49.59	61.42	46.395	50.41	53.53	171.35	65.98	57.345	119.405	58.625	48.41	95.08	105.265	57.82
26	23	18	33	Txndc5	71.665	69.01	70.825	157.37	89.245	178.005	191.065	194.775	169.215	183.425	54.695	140.72	202.105	115.9	190.995	146.845	131.365	111.51	168.55
13	12	26	49	Brd9	63.625	67.125	67.86	81.375	78.125	64.435	80.9	64.96	75.655	64.945	79.53	67.105	67.035	61.495	72.955	69.89	80.925	84.92	67.17
19	26	28	27	Cdk20	25.3	24.46	27.215	70.41	36.165	75.405	81.985	105.115	80.63	95.955	56.105	59.145	95.17	35.425	70.135	72.2	62.755	35.275	71.395
7	30	26	37	Utp15	26.92	29.94	24.56	24.59	39.87	16.54	22.44	14.29	19.44	15.95	25.215	14.865	19.965	26.2	20.205	18.015	18.24	27.45	17.095
29	27	23	21	E330034G19Rik	0.21	0.36	1.49	290.82	2.585	523.09	545.585	636.945	463.925	513.73	0.11	277.43	566.295	40.615	467.28	312.79	239.005	43.425	421.435
21	9	26	44	Slain1	25.315	31.015	20.075	36.45	43.905	30.245	41.285	35.825	32.975	35.225	71.315	31.33	42.49	29.26	38.85	26.56	25.315	26.79	32.275
14	32	22	32	Abhd4	75.63	62.935	65.445	112.66	68.775	99.805	119.375	115.81	106.835	117.645	74.595	95.275	128.29	88.91	118.255	104.885	108.97	91.38	101.02
20	17	39	24	Chmp7	119.94	179.16	129.725	137.655	197.325	89.135	111.59	99.69	107.31	104.8	130.33	99.215	113.7	123.45	127.17	103.55	108.355	111.625	100.685
22	24	28	26	Zfp957	0	0.34	0.59	24.325	0	37.08	35.345	41.665	35.175	33.93	0.03	30.59	31.95	9.73	35.115	26.375	21.915	12.785	33.37
21	34	34	11	Cphx1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
